,ID,TOOL_ID,y
0,ID716,J,2.6275145064081022
1,ID717,J,2.7110329149646413
2,ID719,O,2.828312486760547
3,ID720,O,2.9172990452304766
4,ID721,O,2.8319625362046046
5,ID722,M,2.780976020794601
6,ID723,N,2.86525624286009
7,ID724,L,2.747726059120128
8,ID725,L,2.7708975974862753
9,ID727,N,2.8112744846467637
10,ID728,N,2.808865726892545
11,ID729,L,3.0038544999499335
12,ID730,L,2.853963460197071
13,ID731,N,2.8057708971651256
14,ID732,L,2.8254431386696135
15,ID733,O,2.708518795338629
16,ID734,O,2.872187227601178
17,ID735,O,2.8689477570718958
18,ID736,O,2.724760838176362
19,ID737,O,2.7450643026163752
20,ID738,N,2.868927526241991
21,ID739,O,2.6972172425515493
22,ID740,O,2.7384265523664006
23,ID741,O,2.806104699821899
24,ID742,O,2.69036941974022
25,ID743,N,2.943412331665122
26,ID744,O,2.6801643604045227
27,ID745,O,2.8008978046407345
28,ID746,O,2.8630481123742335
29,ID747,L,2.77582369546858
30,ID749,L,2.9151105021680452
31,ID751,L,2.8795861547696324
32,ID752,L,2.8503959626907336
33,ID753,L,2.8276569472527733
34,ID757,N,3.009385657605792
35,ID759,N,2.8546246500861283
36,ID760,N,2.8587128851694388
37,ID761,N,2.848216986281552
38,ID762,N,2.9118879600806222
39,ID763,N,2.884157047645699
40,ID764,O,2.7723718355889546
41,ID765,N,2.889356209382479
42,ID766,N,2.7898406022068585
43,ID768,N,2.8795265377268016
44,ID769,L,2.93126453251116
45,ID770,N,2.871806526866537
46,ID771,L,2.96030887354319
47,ID772,N,2.90014454788121
48,ID773,L,2.930370270484321
49,ID774,N,2.943852887753322
50,ID776,L,2.958398106462512
51,ID777,O,2.9510218706100453
52,ID778,O,2.8507725789983804
53,ID779,L,2.921763333844494
54,ID781,L,2.9470611740875885
55,ID783,L,2.9206361324770707
56,ID785,L,2.817303672643444
57,ID786,M,2.733915137287853
58,ID787,L,2.8306050211259293
59,ID788,M,2.7878154144119276
60,ID790,N,2.7271108262859114
61,ID792,O,2.764328253405537
62,ID793,O,2.7827304339166146
63,ID797,M,2.7925908539608426
64,ID798,L,2.907248420046936
65,ID801,M,2.7879174824631177
66,ID802,M,2.778989064793417
67,ID803,O,2.8620293256447518
68,ID804,N,3.0511640617014386
69,ID806,O,2.7433927833075114
70,ID807,O,2.9034672494530214
71,ID811,O,2.8107103721555338
72,ID812,O,2.786044573079543
73,ID813,N,2.910278601283841
74,ID816,M,2.798407973401665
75,ID817,L,2.9188877587881317
76,ID818,N,2.7700870211821025
77,ID819,O,2.6508128896383636
78,ID820,O,2.7074055041681993
79,ID821,L,2.8354991974969233
80,ID822,M,2.8124351589432033
81,ID823,M,2.8434346016412753
82,ID824,L,2.836338933973184
83,ID825,M,2.844713776585521
84,ID826,M,2.8398619983415982
85,ID833,O,2.894806418161725
86,ID834,O,2.7477026042281674
87,ID835,O,2.867637278063007
88,ID838,L,2.771484490930651
89,ID839,N,2.875091674745114
90,ID841,N,2.791627968777023
91,ID844,O,2.8877105444198974
92,ID848,O,2.8040127388998046
93,ID849,N,2.7780824006061384
94,ID850,L,2.6779413687812283
95,ID851,O,2.7929321390613495
96,ID852,O,2.8118066526439103
97,ID853,N,2.7986686826736156
98,ID854,K,2.9834141559561216
99,ID855,L,2.8462949345291593
